Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"hand-written/Standard.desugarEval",6.473074413196842e-7,6.096461508959286e-7,6.975578223916212e-7,2.2217948305008633e-7,1.766566061555262e-7,2.680922972899667e-7
"hand-written/ALaCarte.evalSugar",2.7693884457565555e-6,2.619392009930732e-6,2.984239354235899e-6,9.097182516334266e-7,6.959920291896943e-7,1.1350832059703098e-6
"hand-written/ALaCarte.evalDirect",2.4602792114135757e-6,2.3335649376341644e-6,2.631575741181402e-6,7.513752910904364e-7,6.012996758086639e-7,9.062525730629891e-7
"hand-written/Standard.evalSugar",2.356593759994852e-7,2.2016074756463485e-7,2.5559746237927244e-7,9.014153905598788e-8,7.377694137819468e-8,1.0704753214106257e-7
"hand-written/ALaCarte.desugarEval2",5.150148428259559e-6,4.855061836676765e-6,5.552723777698999e-6,1.7468086871333105e-6,1.3732732761210748e-6,2.105453121196464e-6
"hand-written/ALaCarte.desugarEval2'",3.352741013370391e-6,3.189045889656937e-6,3.593352445930694e-6,1.0044970019186416e-6,7.587037015800413e-7,1.278008896987934e-6
"hand-written/Standard.desugarEval2",4.841638835712798e-7,4.543946282154701e-7,5.204026629216244e-7,1.6784637907902161e-7,1.4312774559816237e-7,1.9067718093782082e-7
"hand-written/ALaCarte.evalSugar2",1.1680929449911456e-6,1.098660563640574e-6,1.2587228078807484e-6,4.0583545618720616e-7,3.324461239857618e-7,4.798907866580111e-7
"hand-written/ALaCarte.evalDirect2",1.4106712149376793e-6,1.3314696432103737e-6,1.5112232821247967e-6,4.554560885887464e-7,3.78547495635273e-7,5.441667916415662e-7
"hand-written/Standard.evalSugar2",1.7657700604296665e-7,1.6504751309442783e-7,1.9072499292920632e-7,6.511861940382183e-8,5.594544051961795e-8,7.429005784308335e-8
"hand-written/ALaCarte.contVar",2.358630853346996e-6,2.2166550558911104e-6,2.537200496715272e-6,8.166051613392274e-7,6.8345110040663e-7,9.550595718783126e-7
"hand-written/ALaCarte.contVar'",1.080451493835881e-6,1.0174706808636155e-6,1.1582216289488934e-6,3.5763485106896905e-7,3.0426355429629104e-7,4.1590642006988287e-7
"hand-written/Standard.contVar",1.7899643912035798e-7,1.6839465158883322e-7,1.9155194991028955e-7,5.907240033684645e-8,5.1071298111985905e-8,6.658939578410173e-8
